Date,A Shares,H Shares,CNYHKD,CSI300,Hang Seng Index
2007-10-09,39.032478000000005,20.165791,1.033,5675.93,28228.04
2007-10-10,42.935719,20.652245999999998,1.0322,5685.76,28569.33
2007-10-11,47.227604,25.627352,1.0328,5760.08,29133.02
2007-10-12,51.885593,23.858427,1.0265,5737.22,28838.37
2007-10-15,51.181540999999996,23.924763000000002,1.0316,5821.45,29540.78
2007-10-16,50.96751,23.172972,1.0322,5877.2,28954.55
2007-10-17,49.576313,22.642286,1.0311,5824.12,29298.71
2007-10-18,46.332058,22.642286,1.0312,5615.75,29465.05
2007-10-22,44.636707,21.337702,1.0322,5472.68,28373.63
2007-10-23,45.087299,21.868382,1.0329,5540.09,29376.86
2007-10-24,45.413975,21.890495,1.0345,5588.01,29333.53
2007-10-25,43.431381,21.580932999999998,1.0357,5333.79,29854.49
2007-10-26,43.673569,21.558819,1.0361,5394.81,30405.22
2007-10-29,44.495892,22.177942,1.0369,5508.36,31586.9
2007-10-30,46.720692,22.642286,1.0373,5596.07,31638.22
2007-10-31,46.011013,21.757824,1.0382,5688.54,31352.58
2007-11-01,45.346396999999996,21.978939,1.0398,5605.23,31492.88
2007-11-02,43.414474,21.249256,1.0405,5472.93,30468.34
2007-11-05,41.84304,20.453241000000002,1.0414,5360.31,28942.32
2007-11-06,40.727825,20.851252,1.042,5317.55,29438.13
2007-11-07,41.702225,21.404039,1.0421,5350.63,29708.93
2007-11-08,39.753426,20.674355,1.0472,5093.67,28760.22
2007-11-09,39.150757,20.453241000000002,1.0501,5040.52,28783.41
2007-11-12,36.334564,20.014866,1.0511,4978.25,27665.73
2007-11-13,36.036041,19.563570000000002,1.0482,4939.24,27803.35
2007-11-14,39.618248,20.217945,1.0489,5145.89,29166.01
2007-11-15,37.956688,19.9923,1.048,5081.11,28751.21
2007-11-16,38.3228,19.405621,1.0484,5007.66,27614.43
2007-11-19,37.556789,19.405621,1.0464,4994.42,27460.17
2007-11-20,37.787715999999996,19.676394000000002,1.0490000000000002,5069.38,27771.21
2007-11-21,38.013020000000004,18.68355,1.0490000000000002,4997.62,26618.19
2007-11-22,36.227543,18.277386,1.0494,4772.62,26004.92
2007-11-23,36.627445,18.277386,1.0501,4856.16,26541.09
2007-11-26,36.58802,19.225103,1.0519,4800.08,27626.62
2007-11-27,36.711929,19.473312,1.0537,4711.15,27210.21
2007-11-28,36.931599,19.676394000000002,1.0534,4648.75,27371.24
2007-11-29,37.979217999999996,20.533854,1.0544,4842.07,28482.54
2007-11-30,36.244442,20.827196,1.0523,4737.41,28643.61
2007-12-03,36.419048,21.278492,1.0523,4772.67,28658.42
2007-12-04,36.283867,20.985149,1.0522,4829.21,28879.59
2007-12-05,37.032973999999996,21.616959,1.0535,4965.95,29345.45
2007-12-06,37.004814,21.955425,1.0519,4971.06,29558.92
2007-12-07,37.342754,22.203642000000002,1.0527,5041.35,28842.47
2007-12-10,37.996113,21.887736999999998,1.0547,5133.56,28501.1
2007-12-11,38.120026,22.271332,1.0556,5140.0,29226.84
2007-12-12,37.359660999999996,21.549265,1.0574,5077.39,28521.06
2007-12-13,36.295134999999995,20.827196,1.0576,4884.3,27744.45
2007-12-14,36.114899,20.601547,1.0568,4977.65,27563.64
2007-12-17,34.363228,20.127686999999998,1.056,4857.29,26596.58
2007-12-18,34.363228,20.285643,1.0576,4829.91,26732.87
2007-12-19,34.853241,20.263079,1.0575,4946.29,27029.26
2007-12-20,35.585453,20.759501999999998,1.0587,5037.2,27017.09
2007-12-21,35.782578,20.714375,1.0585,5101.85,27626.92
2007-12-24,37.393452,21.188231,1.0623,5207.13,28128.8
2007-12-27,37.6469,21.301054,1.0675,5367.53,27842.93
2007-12-28,36.954128000000004,20.917451999999997,1.0684,5338.28,27370.6
2008-01-02,36.013512,20.985149,1.0705,5385.1,27560.52
2008-01-03,36.649978999999995,20.533854,1.0728,5422.03,26887.28
2008-01-04,37.038609,20.827196,1.0725,5483.65,27519.69
2008-01-07,38.249573,20.578981,1.0731,5556.59,27179.49
2008-01-08,38.069336,20.691803,1.0735,5528.05,27112.9
2008-01-09,38.767761,21.120531,1.075,5613.76,27615.85
2008-01-10,39.989986,21.39131,1.0732,5672.15,27230.86
2008-01-11,39.494335,21.797476,1.075,5699.15,26867.01
2008-01-14,39.009953,21.887736999999998,1.0757,5731.76,26468.13
2008-01-15,37.900368,21.616959,1.0772,5696.45,25837.78
2008-01-16,36.002251,20.51129,1.0765,5505.72,24450.85
2008-01-17,35.371426,20.488723999999998,1.0769,5365.62,25114.98
2008-01-18,35.940296000000004,19.518438,1.078,5414.47,25201.87
2008-01-21,34.087238,19.022022,1.0772,5145.73,23818.86
2008-01-22,31.310463000000002,17.465059,1.0787,4753.87,21757.63
2008-01-23,32.279243,18.18713,1.0795,4975.11,24090.17
2008-01-24,34.216774,17.735832000000002,1.0812,5027.21,23539.27
2008-01-25,34.092873,18.864065,1.0827,5077.43,25122.37
2008-01-28,34.244942,18.864065,1.085,4731.88,24053.61
2008-01-29,34.785652,19.202536,1.0848,4762.08,24291.8
2008-01-30,33.124096,18.660984,1.0848,4710.65,23653.69
2008-01-31,31.800489000000002,18.051741,1.0857,4620.4,23455.74
2008-02-01,31.952562,18.503029,1.0845,4571.95,24123.58
2008-02-04,34.706799,18.954327,1.0851,4950.12,25032.08
2008-02-05,33.574692,18.976891000000002,1.0857,4921.83,24808.7
2008-02-13,32.769257,18.277386,1.0832,4816.08,23169.55
2008-02-14,32.926964,18.548161,1.0849,4880.25,24021.68
2008-02-15,31.941298,18.886635000000002,1.0859999999999999,4813.31,24148.43
2008-02-18,32.279243,18.728682,1.0891,4910.99,23759.25
2008-02-19,33.309971000000004,18.841501,1.0901,5020.75,24123.17
2008-02-20,32.752357,18.570728,1.0919,4908.72,23590.58
2008-02-21,32.662239,18.548161,1.092,4876.03,23623.0
2008-02-22,31.130228000000002,18.232257999999998,1.0917,4702.24,23305.04
2008-02-25,28.894171000000004,17.871222,1.09,4519.78,23269.14
2008-02-26,27.953559999999996,17.893793,1.0888,4515.53,23714.75
2008-02-27,28.601285999999998,18.480469,1.0901,4639.77,24483.84
2008-02-28,28.533696999999997,18.548161,1.0941,4622.06,24591.69
2008-02-29,28.387253,18.412773,1.0942,4674.55,24331.67
2008-03-03,28.674511,17.961477,1.0958,4790.74,23584.97
2008-03-04,28.178862,17.442495,1.0954,4671.15,23119.87
2008-03-05,27.356527000000003,16.83325,1.0958,4628.72,23114.34
2008-03-06,27.795855,17.104021,1.0958,4685.03,23342.73
2008-03-07,27.908503999999997,16.585037,1.0947,4621.69,22501.33
2008-03-10,27.018587,16.562469,1.0965,4431.59,22705.05
2008-03-11,28.178862,16.697859,1.0964,4441.18,22995.35
2008-03-12,28.195757,17.23941,1.0964,4309.65,23422.76
2008-03-13,29.299707,16.765554,1.0979999999999999,4198.96,22301.64
2008-03-14,29.564429999999998,16.291691,1.0976,4157.87,22237.11
2008-03-17,28.63508,15.118329999999998,1.0968,3965.28,21084.61
2008-03-18,27.536764,13.944967000000002,1.0979999999999999,3763.95,21384.61
2008-03-19,28.150692,14.193181,1.1006,3888.86,21866.94
2008-03-20,27.519869,13.358288,1.1028,4001.83,21108.22
2008-03-25,24.765629,13.990098000000001,1.1035,3905.77,22464.52
2008-03-26,24.979656,13.854709,1.1072,3914.37,22617.01
2008-03-27,22.529567999999998,13.583935999999998,1.1097,3748.92,22664.22
2008-03-28,23.965828,14.824991,1.1097,3918.16,23285.95
2008-03-31,22.529567999999998,14.012663,1.11,3790.53,22849.2
2008-04-01,22.585892,14.193181,1.1108,3582.86,23137.46
2008-04-02,23.171663,14.802425,1.1095,3547.98,23872.43
2008-04-03,24.151695,14.847559,1.1102,3650.7,24264.63
2008-04-07,24.945861999999998,15.795271,1.1127,3845.82,24578.76
2008-04-08,25.052877,15.614751,1.1125,3891.06,24311.69
2008-04-09,23.667309,15.54706,1.1126,3688.13,23984.57
2008-04-10,24.444588,15.795271,1.1139,3754.72,24187.1
2008-04-11,24.726198,16.314259,1.1118,3783.73,24667.79
2008-04-14,24.179857000000002,15.616568,1.1134,3536.33,23811.2
2008-04-15,24.726198,15.479979,1.1146,3583.3,23901.33
2008-04-16,25.452779999999997,15.457218,1.1147,3494.02,23878.35
2008-04-17,24.253078,15.935273,1.1166,3386.63,24258.96
2008-04-18,23.464544,15.548276999999999,1.1145,3272.5,24197.78
2008-04-21,23.841917000000002,15.889744,1.1134,3267.55,24721.67
2008-04-22,24.117905,16.322275,1.1151,3296.28,24939.15
2008-04-23,25.064146,16.845861,1.1163,3453.73,25289.24
2008-04-24,27.570562,17.437739999999998,1.1148,3774.5,25680.78
2008-04-25,27.024216,17.210096,1.1115,3803.07,25516.78
2008-04-28,26.269476,17.141804,1.1125,3729.15,25666.29
2008-04-29,26.528565999999998,16.45886,1.1158,3776.94,25914.15
2008-04-30,27.249512,16.299509,1.1153,3959.12,25755.35
2008-05-05,27.587456,16.345036999999998,1.1152,4055.78,26183.95
2008-05-06,27.818386,16.390566,1.1152,4010.89,26262.13
2008-05-07,26.905934999999996,15.912507999999999,1.1154,3821.32,25610.21
2008-05-08,28.595654999999997,15.616568,1.1128,3925.04,25449.79
2008-05-09,28.190121,15.024685,1.1156,3878.92,25063.17
2008-05-13,27.159395,15.047452,1.1156,3851.69,25552.77
2008-05-14,28.161959000000003,15.001920000000002,1.1146,3975.78,25533.48
2008-05-15,27.784594,14.705981,1.1152,3948.09,25513.71
